"index","brand","model","mileage","year","fuel_type","ownerCount","accidentCount","transmission","city","state","body_style","engine","drive_train","price"
"8039","Nissan","Altima","18066","2019","Gas","1","0","Automatic","Daly City","CA","Sedan","2.5L Inline-4 Gas","FWD","26998"
"8040","Toyota","Camry","49189","2019","Gas","2","0","Automatic","Napa","CA","Sedan","2.5L Inline-4 Gas","FWD","27239"
"8041","Nissan","Rogue","42041","2018","Gas","1","0","Automatic","Daly City","CA","SUV","2.5L Inline-4 Gas","AWD","22998"
"8042","Jeep","Grand Cherokee","85234","2018","Gas","2","0","Automatic","Daly City","CA","SUV","3.6L V-6 Gas","RWD","25990"
"8043","Jeep","Wrangler","56945","2017","Gas","1","0","Manual","Daly City","CA","SUV","3.6L V-6 Gas","4WD","31998"
"8044","Chevrolet","Silverado 1500","31539","2019","Gas","2","0","Automatic","Daly City","CA","Pickup Truck","4.3L V-6 Gas","RWD","35998"
"8045","Land Rover","Range Rover Velar","20724","2018","Gas","1","0","Automatic","Daly City","CA","SUV","3.0L V-6 Gas Supercharged","4WD","54590"
"8046","Toyota","RAV4","11605","2019","Gas","1","0","Automatic","Livermore","CA","SUV","2.5L Inline-4 Gas","AWD","36898"
"8047","Volkswagen","Tiguan","13679","2018","Gas","1","0","Automatic","Daly City","CA","SUV","2.0L Inline-4 Gas Turbocharged","AWD","30998"
"8048","Lexus","RX","23734","2018","Gas","1","1","Automatic","Daly City","CA","SUV","3.5L V-6 Gas","AWD","41998"
"8049","Toyota","Camry","14797","2020","Gas","1","0","Automatic","Daly City","CA","Sedan","3.5L V-6 Gas","FWD","35998"
"8050","Toyota","Tacoma","6410","2019","Gas","1","0","Automatic","Daly City","CA","Pickup Truck","2.7L Inline-4 Gas","RWD","32998"
"8051","Jeep","Wrangler","63698","2019","Gas","1","0","Automatic","Daly City","CA","SUV","3.6L V-6 Gas","4WD","40998"
"8052","Nissan","Altima","97290","2016","Gas","2","0","Automatic","Santa Clara","CA","Sedan","2.5L Inline-4 Gas","FWD","13966"
"8053","Hyundai","Sonata","76032","2011","Gas","4","0","Automatic","San Jose","CA","Sedan","2.4L Inline-4 Gas","FWD","9999"
"8054","Jeep","Compass","47054","2017","Gas","4","0","Automatic","Daly City","CA","SUV","2.0L Inline-4 Gas","FWD","16998"
"8055","Honda","Accord","20032","2021","Gas","1","0","Automatic","Napa","CA","Sedan","1.5L Inline-4 Gas Turbocharged","FWD","32450"
"8056","Honda","Ridgeline","17643","2019","Gas","1","0","Automatic","Vallejo","CA","Pickup Truck","3.5L V-6 Gas","AWD","39394"
"8057","Nissan","Sentra","11362","2019","Gas","1","0","Manual","Daly City","CA","Sedan","1.8L Inline-4 Gas","FWD","19590"
